title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
37th National Convention of the Intercollegiate Knights [02],"Attendees to the 37th National Convention of the Intercollegiate Knights, a national honorary service organization, network in a hallway.",1961,yes,conferences; national organizations; students,Student Clubs,Intercollegiate Knights,46.728680,-117.007286,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-34,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2371,2371,2372.jp2,/pg2/image/2372.jp2,pg22371
Queen contestants at the 37th National Convention of the Intercollegiate Knights,"Queen contestants pose for a group photo on stage at the 37th National Convention of the Intercollegiate Knights, a national honorary service organization.",1961-04-20,,conferences; national organizations; students,Student Clubs,Intercollegiate Knights,46.729105,-117.007339,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-36,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2372,2372,2373.jp2,/pg2/image/2373.jp2,pg22372
37th National Convention of the Intercollegiate Knights [04],"Attendees to the 37th National Convention of the Intercollegiate Knights, a national honorary service organization, network in a hallway.",1961,yes,conferences; national organizations; students,Student Clubs,Intercollegiate Knights,46.728703,-117.007243,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-37,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2373,2373,2374.jp2,/pg2/image/2374.jp2,pg22373
Contestant for queen at 37th National Convention of the Intercollegiate Knights [04],"A contestant for queen walks across the Administration Auditorium during the 37th National Convention of the Intercollegiate Knights, a national honorary service organization.",1961-04-20,,conferences; national organizations; students,Student Clubs,Intercollegiate Knights,46.725812,-117.011426,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-39,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2374,2374,2375.jp2,/pg2/image/2375.jp2,pg22374
37th National Convention of the Intercollegiate Knights [06],"State representative George Crookham issues the principal speech at the 37th National Convention of Intercollegiate Knights, a national honorary service organization.",1961,yes,conferences; national organizations; students,Student Clubs,Intercollegiate Knights,46.728934,-117.007413,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-40,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2018-05-16,2018-05-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2375,2375,2376.jp2,/pg2/image/2376.jp2,pg22375
William Perkins receiving honorary degree [01],William Perkins receiving an honorary degree during the 1952 Commencement ceremony.,1952,yes,commencements; degrees,Academics,Commencement,46.726501,-117.013657,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-050,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2446,2446,2447.jp2,/pg2/image/2447.jp2,pg22446
William Perkins receiving honorary degree [02],William Perkins receiving an honorary degree during the 1952 Commencement ceremony.,1952,yes,commencements; degrees,Academics,Commencement,46.726509,-117.014044,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-051,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2447,2447,2448.jp2,/pg2/image/2448.jp2,pg22447
W. Walter Williams giving the Commencement address,"W. Walter Williams, chairman of NECD, giving the 1949 Commencement address.",1949,yes,commencements; gymnasiums,Academics,Commencement,46.726545,-117.013550,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-052,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2448,2448,2449.jp2,/pg2/image/2449.jp2,pg22448
Edwin Palmer Hoyt giving the Commencement address,"Edwin Palmer Hoyt, editor and publisher of the Denver Post, giving the 1950 Commencement address.",1950,yes,commencements; gymnasiums,Academics,Commencement,46.726670,-117.013797,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-053,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2449,2449,2450.jp2,/pg2/image/2450.jp2,pg22449
Reverend Frank A. Rhea delivering the baccalaureate sermon,"Reverend Frank A. Rhea, Bishop of Idaho, giving the baccalaureate sermon during the 1950 Commencement ceremony.",1950,yes,commencements,Academics,Commencement,46.726590,-117.014011,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-054,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2450,2450,2451.jp2,/pg2/image/2451.jp2,pg22450
Florence Aller receiving the first Doctor of Education degree at the University of Idaho [01],Mrs. Florence Aller receiving the first Doctor of Education degree conferred by the University of Idaho from university President D. R. Theophilus during the 1962 Commencement ceremony.,1962,yes,commencements,Academics,Commencement,46.726549,-117.014016,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-080a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2485,2485,2486.jp2,/pg2/image/2486.jp2,pg22485
Florence Aller receiving the first Doctor of Education degree at the University of Idaho [02],Mrs. Florence Aller receiving the first Doctor of Education degree conferred by the University of Idaho from university President D. R. Theophilus during the 1962 Commencement ceremony.,1962,yes,commencements; degrees,Academics,Commencement,46.726550,-117.014086,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-080b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2486,2486,2487.jp2,/pg2/image/2487.jp2,pg22486
Commencement procession in front of Administration Building,Academic procession standing in front of the Administration Building during the 1939 Commencement ceremony.,1939,yes,processions; commencements,Academics,Commencement,46.726098,-117.011187,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-031,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2487,2487,2488.jp2,/pg2/image/2488.jp2,pg22487
Commencement procession near the Women's Gym,Academic procession passes near the Women's Gym during the 1939 Commencement.,1939,yes,processions; commencements,Academics,Commencement,46.727576,-117.011738,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-032,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2488,2488,2489.jp2,/pg2/image/2489.jp2,pg22488
Commencement in the Memorial Gym [01],Graduates and audience stand during the 1939 Commancement ceremony in the Memorial Gym.,1939,yes,commencements; gymnasiums,Academics,Commencement,46.726554,-117.013766,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-033,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-17,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2489,2489,2490.jp2,/pg2/image/2490.jp2,pg22489
Gale Mix speaking at 37th National Convention of the Intercollegiate Knights [03],"Gale Mix speaks to attendees of the 37th National Convention of the Intercollegiate Knights, a national honorary service organization.",1961,,national organizations; conferences,Student Clubs,Intercollegiate Knights,46.728312,-117.007233,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-26,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2520,2520,2521.jp2,/pg2/image/2521.jp2,pg22520
Registration for 37th National Convention of the Intercollegiate Knights [02],"Attendees of the 37th National Convention of the Intercollegiate Knights, a national honorary service organization, gather at the registration table before an event.",1961,,national organizations; conferences,Student Clubs,Intercollegiate Knights,46.728792,-117.007193,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-27,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2521,2521,2522.jp2,/pg2/image/2522.jp2,pg22521
37th National Convention of the Intercollegiate Knights [35],"Spurs sing 'Happy Birthday' to Godron Chester, the head national officer and chairman, at the 37th National Convention of the Intercollegiate Knights, a national honorary service organization.",1961,,national organizations; conferences,Student Clubs,Intercollegiate Knights,46.728355,-117.007151,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-28,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2522,2522,2523.jp2,/pg2/image/2523.jp2,pg22522
Queen contestants at the 37th National Convention of the Intercollegiate Knights [03],"Queen contestants pose for a group photo on stage at the 37th National Convention of the Intercollegiate Knights, a national honorary service organization. Individuals identified from left to right: unknown, Donna Hilton (Brigham Young University), Queen (name unknown), Sally Newland (University of Idaho), unknown, unknown.",1961,,national organizations; conferences,Student Clubs,Intercollegiate Knights,46.725893,-117.011412,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",136-29,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2523,2523,2524.jp2,/pg2/image/2524.jp2,pg22523
Helldiver's swimming club program 'Moods of Music',"Diana Kinzer, Kay Barnes, Swen Hyke, Nancy Knox, Marcia Gellert, and Maureen Snow perform in the Helldiver's swimming club program 'Moods of Music.' Individuals are identified clockwise from top",1966,,"swimming, swimming pools",Athletics,Helldivers,46.725990,-117.013850,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",130-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2524,2524,2525.jp2,/pg2/image/2525.jp2,pg22524
"Robert V. Hansberger, president of Boise Cascade Corporation, as Commencement speaker","Robert V. Hansberger, president of Boise Cascade Corporation, delivers a speech during the 1964 Commencement ceremony.",1964,yes,commencement,Academics,Commencement,46.726577,-117.014153,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-142,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2564,2564,2565.jp2,/pg2/image/2565.jp2,pg22564
Dr. John W. Mitchell receives an honorary Doctor of Science degree from University of Idaho President Donald Theophilus at Commencement,Dr. John W. Mitchell receives an honorary Doctor of Science degree from University of Idaho President Donald Theophilus during the 1963 Commencement ceremony. Dean James E. Kraus assisting,1963,yes,commencement,Academics,Commencement,46.726491,-117.014244,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-141,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2565,2565,2566.jp2,/pg2/image/2566.jp2,pg22565
Dr. William H. Coneupon his retirement at Commencement,Dr. William H. Cone (left) upon his retirement at the 1964 Commencement ceremony. Photographer Publications Department,1964,yes,commencement,Academics,Commencement,46.726597,-117.014210,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-147,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2566,2566,2567.jp2,/pg2/image/2567.jp2,pg22566
Dr. Eugene B. Chaffee receives an honorary Doctor of Laws degree,Dr. Eugene B. Chaffee receives an honorary Doctor of Laws degree from University of Idaho President Donald Theophilus during the 1964 Commencement ceremony. Dean Boyd A. Martin stands behind and Registrar Lee O'Neill places the hood on Dr. Chaffee.,1964,yes,commencement,Academics,Commencement,46.726507,-117.014286,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-146,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2567,2567,2568.jp2,/pg2/image/2568.jp2,pg22567
Procession led by Colonel Charles F. Hudson and Captain Church A. Chappell at Commencement,The 1949 Commencement Procession being led led by Colonel Charles F. Hudson and Captain Church A. Chappell.,1949,yes,"commencements, processions",Academics,Commencement,46.726216,-117.011623,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-133,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2568,2568,2569.jp2,/pg2/image/2569.jp2,pg22568
Earl Thomas Hayes receiving an honorary Doctor of Science degree [2],Earl Thomas Hayes receiving an honorary Doctor of Science degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria, science",Academics,Commencement,46.726546,-117.013768,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-184b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2614,2614,2615.jp2,/pg2/image/2615.jp2,pg22614
Merrill Dee Beal receiving an honorary Doctor of Humane Letters degree [1],Merrill Dee Beal receiving an honorary Doctor of Humane Letters degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria",Academics,Commencement,46.726542,-117.013720,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-185a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2615,2615,2616.jp2,/pg2/image/2616.jp2,pg22615
Merrill Dee Beal receiving an honorary Doctor of Humane Letters degree [2],Merrill Dee Beal receiving an honorary Doctor of Humane Letters degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria",Academics,Commencement,46.726538,-117.013945,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-185b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2616,2616,2617.jp2,/pg2/image/2617.jp2,pg22616
Lester J. Randall receiving an honorary Doctor of Administrative Science degree,Lester J. Randall receiving an honorary Doctor of Administrative Science degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria",Academics,Commencement,46.726563,-117.014203,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-186,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2617,2617,2618.jp2,/pg2/image/2618.jp2,pg22617
Louis DeSpain receiving an honorary Doctor of Science degree at Commencement [1],Louis DeSpain receiving an honorary Doctor of Science degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria, science",Academics,Commencement,46.726595,-117.014029,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-187a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2618,2618,2619.jp2,/pg2/image/2619.jp2,pg22618
Louis DeSpain receiving an honorary Doctor of Science degree at Commencement [2],Louis DeSpain receiving an honorary Doctor of Science degree during the 1971 Commencement ceremony.,1971,yes,"commencement, honoraria",Academics,Commencement,46.726609,-117.013656,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-187b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2619,2619,2620.jp2,/pg2/image/2620.jp2,pg22619
Honorary degree recipients with University of Idaho President Ernest W. Hartung,"Honorary degree recipients with University of Idaho President Ernest W. Hartung (right). L-r: Cecil Corlett, Thomas Taylor, Clinton Gutermuth and John Peacock.",1972,yes,"commencement, honoraria, group portrait",Academics,Commencement,46.725838,-117.011136,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-188,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2620,2620,2621.jp2,/pg2/image/2621.jp2,pg22620
Commencement of 1974,A graduate receives his degree on stage in front of a large banner of the Seal of the University of Idaho during the 1974 Commencement ceremony.,1974,yes,commencement,Academics,Commencement,46.726430,-117.013569,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-189,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2621,2621,2622.jp2,/pg2/image/2622.jp2,pg22621
Ansbert Skina as Commencement speaker [1],"Ansbert Skina, the former chairman of the board for Commonwealth Services, Inc, delivers his Commencement speech during the 1974 Commencement ceremony.",1974,yes,commencement,Academics,Commencement,46.726514,-117.014047,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-190a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2622,2622,2623.jp2,/pg2/image/2623.jp2,pg22622
Ansbert Skina as Commencement speaker [2],"Ansbert Skina, the former chairman of the board for Commonwealth Services, Inc, delivers his Commencement speech during the 1974 Commencement ceremony.",1974,yes,commencement,Academics,Commencement,46.726513,-117.014028,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-190b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2623,2623,2624.jp2,/pg2/image/2624.jp2,pg22623
Alumni Association president William W. Deal speaking at Commencement,Alumni Association president William W. delivers a speech during the 1975 Commencement ceremony.,1975,yes,commencement,Academics,Commencement,46.726541,-117.014021,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-191a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2624,2624,2625.jp2,/pg2/image/2625.jp2,pg22624
Alumni Association president William W. Deal with Academic Vice President Robert W. Coonrod at Commencement,Alumni Association president William W. Deal with Academic Vice President Robert W. Coonrod for the 1975 Commencement ceremony.,1975,yes,"commencement, double portrait",Academics,Commencement,46.726504,-117.013870,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-191b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2625,2625,2626.jp2,/pg2/image/2626.jp2,pg22625
